iter	RMSE
0	20139.74097
1	19821.9991
2	19472.05652
3	19116.73877
4	18838.82403
5	18497.09718
6	18207.47774
7	17854.34593
8	17571.38955
9	17345.55881
10	17060.63061
11	16813.80589
12	16585.68336
13	16345.47838
14	16176.83771
15	15918.99488
16	15685.74129
17	15502.12578
18	15302.05232
19	15096.1203
20	14887.60649
21	14713.89488
22	14530.01219
23	14389.60434
24	14209.5056
25	14036.165
26	13868.98473
27	13698.78521
28	13539.2268
29	13369.33936
30	13242.12389
31	13097.04104
32	12968.37688
33	12828.36192
34	12700.13023
35	12576.19409
36	12485.51507
37	12393.03492
38	12271.72094
39	12186.45966
40	12079.97501
41	11972.40826
42	11865.87386
43	11769.54758
44	11677.11523
45	11593.51609
46	11503.95208
47	11420.97437
48	11362.13901
49	11294.45589
50	11218.6275
51	11095.57657
52	11043.36811
53	10954.1023
54	10858.44859
55	10774.74151
56	10689.20322
57	10631.47027
58	10576.61242
59	10498.88544
60	10437.91911
61	10381.87927
62	10316.58811
63	10249.55442
64	10194.92473
65	10145.36401
66	10087.05096
67	10033.3907
68	9986.493428
69	9922.869314
70	9872.709711
71	9824.604251
72	9764.823272
73	9722.35495
74	9659.948869
75	9626.49793
76	9593.665883
77	9553.204669
78	9506.529287
79	9466.697515
80	9443.122499
81	9369.222071
82	9325.265359
83	9299.853473
84	9276.1827
85	9216.856838
86	9171.422684
87	9133.431252
88	9109.429638
89	9081.038836
90	9047.44773
91	9026.598696
92	8958.041074
93	8928.45341
94	8903.774014
95	8877.011804
96	8841.845732
97	8809.079715
98	8787.535503
99	8757.836863
100	8722.516651
101	8699.227825
102	8667.627169
103	8643.146057
104	8613.090216
105	8595.16946
106	8588.056031
107	8562.275059
108	8527.205287
109	8516.756304
110	8480.34187
111	8468.965025
112	8441.48815
113	8424.712309
114	8399.916306
115	8384.246094
116	8371.396283
117	8355.826619
118	8338.514209
119	8324.841712
120	8300.373112
121	8284.908188
122	8275.761832
123	8266.262501
124	8242.171478
125	8220.198842
126	8202.54964
127	8182.700893
128	8161.423326
129	8152.628242
130	8143.956259
131	8131.833647
132	8109.20912
133	8095.864732
134	8076.335187
135	8051.959868
136	8013.949573
137	8005.380865
138	7965.465813
139	7956.513948
140	7907.950837
141	7895.550927
142	7874.155695
143	7859.418446
144	7845.193679
145	7833.831107
146	7815.425505
147	7796.319623
148	7784.798582
149	7771.463203
150	7760.494256
151	7743.526798
152	7734.805141
153	7721.797139
154	7706.687994
155	7700.341426
156	7684.321608
157	7654.349214
158	7619.937645
159	7604.675152
160	7583.178637
161	7572.873447
162	7565.482027
163	7556.250057
164	7550.929384
165	7544.411811
166	7529.507892
167	7505.386731
168	7496.352985
169	7474.712236
170	7467.026566
171	7457.989409
172	7450.53109
173	7388.401775
174	7371.033606
175	7356.125582
176	7349.067888
177	7341.717535
178	7331.91646
179	7324.890376
180	7316.442554
181	7310.195757
182	7288.93023
183	7282.776846
184	7278.286242
185	7263.681074
186	7256.693123
187	7245.969023
188	7237.226508
189	7224.822362
190	7196.83095
191	7179.656998
192	7173.602687
193	7123.682366
194	7114.581044
195	7110.105065
196	7106.595283
197	7085.093236
198	7079.566258
199	7072.962516
200	7020.954967
201	7006.438464
202	6961.362415
203	6954.126232
204	6950.613874
205	6940.859617
206	6935.32498
207	6927.110497
208	6915.103294
209	6908.990853
210	6888.28179
211	6886.104558
212	6876.742901
213	6872.408699
214	6855.007807
215	6848.245864
216	6843.276139
217	6840.339234
218	6838.331525
219	6787.803453
220	6783.213076
221	6777.845389
222	6773.631844
223	6750.687225
224	6723.892136
225	6697.125225
226	6679.876779
227	6678.455636
228	6670.995244
229	6646.356374
230	6629.888657
231	6626.908404
232	6597.765855
233	6589.945745
234	6586.16996
235	6540.585544
236	6538.759731
237	6534.849544
238	6531.51796
239	6521.071265
240	6512.186732
241	6499.332358
242	6495.025126
243	6486.544333
244	6484.157701
245	6478.730952
246	6464.512001
247	6457.947567
248	6434.265546
249	6425.739101
250	6421.680351
251	6418.134539
252	6415.405491
253	6373.782419
254	6370.110265
255	6350.853274
256	6348.442258
257	6334.41937
258	6332.387087
259	6329.109515
260	6327.22902
261	6323.402236
262	6311.914895
263	6309.366644
264	6269.959628
265	6258.591219
266	6256.733379
267	6218.889905
268	6215.897263
269	6198.392159
270	6181.288789
271	6166.23335
272	6162.146473
273	6159.891328
274	6157.082874
275	6154.640798
276	6151.029663
277	6148.246188
278	6145.911059
279	6130.708053
280	6128.186501
281	6126.56223
282	6114.265981
283	6104.283437
284	6099.905225
285	6098.423962
286	6096.254754
287	6078.940561
288	6069.477261
289	6051.857548
290	6036.784368
291	6034.839269
292	6030.32623
293	6024.945978
294	6022.753382
295	5991.45034
296	5987.821208
297	5978.690285
298	5976.730551
299	5966.224048
300	5956.162122
301	5953.847764
302	5937.940514
303	5935.995899
304	5926.188023
305	5924.403142
306	5922.965478
307	5913.246757
308	5903.887951
309	5896.689389
310	5895.60467
311	5891.837799
312	5877.475496
313	5868.62021
314	5851.606733
315	5849.862247
316	5848.537166
317	5847.012781
318	5838.703024
319	5837.114983
320	5828.040754
321	5821.622347
322	5782.521765
323	5751.0986
