iter	Passed	Remaining
0	0	777
1	1	747
2	2	757
3	2	732
4	3	712
5	4	705
6	4	699
7	5	695
8	6	694
9	6	656
10	7	652
11	7	654
12	8	652
13	9	653
14	9	634
15	10	635
16	10	633
17	11	630
18	12	631
19	12	629
20	13	630
21	14	630
22	14	630
23	15	630
24	16	629
25	16	631
26	17	629
27	18	627
28	18	629
29	19	630
30	20	632
31	20	632
32	21	632
33	22	632
34	22	631
35	23	629
36	24	628
37	24	627
38	25	626
39	26	626
40	26	626
41	27	626
42	28	625
43	28	624
44	29	623
45	29	621
46	30	620
47	31	619
48	31	616
49	32	616
50	33	616
51	33	614
52	34	613
53	35	613
54	35	612
55	36	611
56	36	610
57	37	609
58	38	608
59	38	608
60	39	607
61	40	605
62	40	605
63	41	605
64	42	606
65	42	606
66	43	611
67	44	614
68	45	614
69	46	614
70	46	614
71	47	613
72	48	615
73	49	617
74	50	618
75	50	618
76	51	617
77	52	617
78	52	616
79	53	615
80	54	614
81	54	613
82	55	613
83	56	614
84	56	612
85	57	613
86	58	612
87	59	613
88	59	613
89	60	612
90	61	611
91	61	610
92	62	610
93	63	609
94	63	609
95	64	607
96	65	607
97	66	608
98	66	608
99	67	608
100	68	609
101	69	609
102	69	609
103	70	608
104	71	607
105	71	606
106	72	603
107	72	602
108	73	601
109	74	601
110	74	600
111	75	598
112	76	597
113	76	597
114	77	596
115	78	595
116	78	595
117	79	595
118	80	594
119	81	594
120	81	593
121	82	593
122	82	591
123	83	589
124	84	588
125	84	588
126	85	588
127	86	587
128	86	587
129	87	585
130	88	583
131	88	583
132	89	583
133	90	583
134	90	583
135	91	583
136	92	583
137	93	582
138	94	582
139	94	582
140	95	583
141	96	582
142	97	581
143	97	581
144	98	581
145	99	581
146	100	582
147	101	584
148	102	584
149	103	583
150	103	583
151	104	585
152	105	584
153	106	584
154	107	585
155	107	583
156	108	583
157	109	582
158	109	581
159	110	581
160	111	580
161	112	580
162	112	579
163	113	579
164	114	577
165	114	576
166	115	574
167	115	573
168	116	572
169	116	571
170	117	570
171	118	569
172	119	569
173	119	568
174	120	567
175	121	566
176	121	565
177	122	565
178	123	564
179	123	563
180	124	562
181	124	561
182	125	560
183	126	560
184	126	559
185	127	558
186	128	557
187	128	556
188	129	556
189	130	555
190	130	554
191	131	554
192	132	553
193	133	552
194	133	552
195	134	551
196	134	549
197	135	549
198	136	548
199	136	547
200	137	546
201	138	545
202	138	545
203	139	544
204	139	542
205	140	542
206	141	541
207	141	540
208	142	539
209	143	538
210	143	537
211	144	535
212	144	535
213	145	535
214	146	534
215	147	533
216	147	532
217	148	531
218	148	529
219	149	528
220	149	527
221	150	526
222	150	524
223	151	524
224	151	523
225	152	522
226	153	521
227	153	520
228	154	519
229	154	518
230	155	517
231	156	516
232	156	516
233	157	515
234	157	513
235	158	513
236	158	511
237	159	510
238	160	509
239	160	508
240	161	507
241	161	506
242	162	505
243	162	504
244	163	503
245	163	502
246	164	501
247	165	500
248	165	500
249	166	499
250	166	498
251	167	497
252	168	496
253	168	495
254	169	494
255	169	493
256	170	492
257	171	491
258	171	490
259	172	489
260	172	488
261	173	487
262	173	486
263	174	485
264	174	484
265	175	484
266	175	482
